Rank,MovieTitle,Studio,TotalGross,Theaters,OpeningGross,OpeningTheaters,OpenDate
331,Le Trou (2017 re-release),Rialto,"$33,187 ",3,"$6,756 ",1,8-Sep
332,Love & Taxes,Abr.,"$33,150 ",4,"$1,698 ",1,11-Aug
333,Alone in Berlin,IFC,"$33,125 ",5,"$8,869 ",2,3-Feb
335,7 Witches,Indic.,"$31,100 ",4,"$1,875 ",1,31-Mar
336,XX (2017),Magn.,"$30,911 ",16,"$6,222 ",7,24-Mar
338,False Confessions,BWP,"$29,245 ",3,"$7,361 ",2,3-Feb
339,Berlin Syndrome,VE,"$28,660 ",25,"$22,916 ",25,27-Jan
340,Sidemen: Long Road to Glory,Abr.,"$28,150 ",6,"$6,120 ",1,17-Feb
341,Radio Dreams,Mats.,"$27,836 ",5,"$1,707 ",1,1-Sep
342,Lemon,Magn.,"$27,690 ",13,"$5,957 ",2,19-May
343,Napping Princess,GK,"$27,533 ",22,"$10,865 ",14,28-Apr
346,The Untamed,Strand,"$26,652 ",8,"$2,718 ",1,1-Sep
350,The Marseille Trilogy,Jan.,"$24,787 ",1,"$7,720 ",1,16-Jun
351,Jasmine,Indic.,"$24,248 ",3,"$8,358 ",3,21-Apr
352,"A Woman, a Part",Strand,"$23,562 ",3,"$5,869 ",1,12-May
353,Nocturama,Ghop,"$23,480 ",4,"$5,402 ",3,30-Jun
354,The Villainess,WGUSA,"$23,440 ",4,"$4,238 ",1,2-Jun
355,Finding Oscar,FR,"$23,116 ",16,"$2,365 ",1,17-Sep
356,The Grace of Jake,Indic.,"$23,078 ",2,"$4,784 ",2,18-Aug
357,The Recall,Free,"$22,943 ",31,"$6,570 ",7,21-Apr
358,My Scientology Movie,Magn.,"$22,936 ",6,"$11,180 ",2,1-Sep
359,The Transfiguration,Strand,"$22,091 ",8,"$4,605 ",1,27-Jan
360,In Pursuit of Silence,CGld,"$21,518 ",2,"$5,141 ",1,19-May
361,Bronx Gothic,Ghop,"$21,489 ",3,"$4,696 ",1,24-Mar
363,Massacre on Aisle 12,Indic.,"$21,106 ",3,$967 ,1,28-Apr
364,A Beginner's Guide to Snuff,Indic.,"$21,031 ",3,"$5,204 ",3,2-Mar
367,Man Underground,Indic.,"$20,729 ",5,"$2,194 ",3,8-Sep
368,The Girl Without Hands,GK,"$20,532 ",5,"$2,916 ",1,20-Jan
369,The Blackcoat's Daughter,A24,"$20,435 ",26,"$12,402 ",26,18-Feb
370,Heat and Dust (2017 re-release),Cohen,"$19,856 ",4,"$10,289 ",4,3-Feb
371,Simple Creature,Indic.,"$19,682 ",3,"$3,006 ",3,23-Jun
372,Carrie Pilby,Orch.,"$18,957 ",6,"$13,944 ",6,7-Apr
373,All The Rage: Saved by Sarno,TFC,"$18,489 ",1,"$9,765 ",1,8-Sep
374,Burden,Magn.,"$18,440 ",13,"$3,231 ",2,8-Sep
375,Glory (2017),FM,"$18,415 ",2,"$3,716 ",2,6-Jan
377,The Last Shaman,Abr.,"$17,844 ",4,"$6,799 ",1,25-Aug
378,Sacred,Argo.,"$17,740 ",4,"$4,149 ",1,17-Feb
379,Harmonium,FM,"$17,191 ",4,"$3,453 ",1,18-Aug
380,Food Evolution,Abr.,"$17,181 ",3,"$2,851 ",1,1-Mar
381,L'important C'est D'aimer (2017 Re-Release),Rialto,"$16,976 ",2,"$5,370 ",1,25-Jan
382,Swim Team,Argo.,"$16,783 ",3,"$4,024 ",1,8-Sep
383,The Freedom to Marry,Argo.,"$16,611 ",3,"$6,142 ",1,21-Apr
384,Brave New Jersey,Grav.,"$16,544 ",14,"$13,437 ",14,24-Mar
386,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,"$16,333 ",2,"$5,030 ",2,17-Mar
387,Ex Libris: The New York Public Library,Zipp.,"$16,308 ",1,"$10,926 ",1,14-Jul
388,Contemporary Color,Osci.,"$15,305 ",5,"$1,451 ",1,21-Jul
389,SHOT! The Psycho-Spiritual Mantra of Rock,Magn.,"$15,157 ",2,"$6,694 ",2,1-Sep
390,Vince Giordano: There's a Future in the Past,FRun,"$14,807 ",1,"$6,285 ",1,8-Sep
391,The Farthest,Abr.,"$14,773 ",2,"$6,900 ",2,8-Sep
393,Escapes,Ghop,"$14,016 ",4,"$1,339 ",1,1-Sep
394,Legend of the Naga Pearls,WGUSA,"$13,588 ",4,"$5,122 ",4,14-Apr
395,Taipei Story (2017 re-release),Jan.,"$12,897 ",1,"$7,333 ",1,13-Jan
396,Junction 48,Orch.,"$12,795 ",2,"$5,516 ",2,31-Mar
397,Blind,VE,"$12,522 ",14,"$12,522 ",14,1-Sep
398,After Love,Distrib.,"$12,485 ",5,$810 ,1,19-May
399,Seven Beauties (2017 re-release),KL,"$12,408 ",2,"$1,536 ",1,27-Jan
400,Staying Vertical,Strand,"$12,158 ",4,"$4,240 ",4,10-Mar
401,Dead Awake (2017),FR,"$11,528 ",12,"$8,834 ",12,13-Jan
402,Beside Bowie: The Mick Ronson Story,PDF,"$11,400 ",2,"$2,100 ",1,1-Sep
403,Saigon Bodyguards,CJ,"$11,314 ",2,"$2,252 ",1,27-Jan
404,Ugetsu (2017 re-release),Jan.,"$11,197 ",1,"$6,154 ",1,3-Mar
405,4 Days in France,CGld,"$11,029 ",2,"$3,728 ",1,21-Jul
406,In Search of Fellini,AMBI,"$10,796 ",3,"$10,796 ",3,12-May
407,Lovesong,Strand,"$10,626 ",3,"$1,718 ",1,4-Aug
408,Last Men in Aleppo,Ghop,"$10,480 ",5,"$1,505 ",1,24-Feb
409,Clarence (2017),Indic.,"$10,291 ",2,"$5,004 ",2,17-Feb
410,Amelia 2.0,TriCoast,"$10,233 ",1,"$7,836 ",1,13-Sep
411,Red Trees,Cohen,"$10,180 ",9,"$10,180 ",9,6-Jan
412,The Sunshine Makers,FR,"$10,042 ",7,"$1,874 ",1,8-Sep
413,Pelle the Conqueror (2017 re-release),FM,"$9,757 ",4,"$1,676 ",1,9-Jun
414,Lycan,PDF,"$9,110 ",5,"$4,970 ",5,30-Jun
415,The Eyes,PDF,"$9,104 ",3,"$2,075 ",1,14-Jul
417,Amnesia,FM,"$8,700 ",2,"$1,202 ",1,15-Sep
418,We Are the Flesh,Arrow,"$8,438 ",3,$835 ,3,31-Mar
419,Natasha,Men.,"$8,325 ",1,"$8,325 ",1,1-Sep
420,Mr. Chibbs,Abr.,"$8,302 ",1,"$3,163 ",1,6-Jan
421,Spettacolo,Ghop,"$8,286 ",2,"$4,403 ",2,1-Sep
422,Served Like a Girl,ENTMP,"$8,275 ",8,"$1,844 ",4,20-Jan
423,Manolo: The Boy Who Made Shoes for Lizards,MBox,"$8,186 ",3,"$8,186 ",3,4-Aug
425,From Nowhere,FR,"$8,109 ",2,"$5,408 ",2,4-Aug
426,Swept Away (2017 re-release),KL,"$7,876 ",2,"$1,011 ",1,15-Sep
427,School Life,Magn.,"$7,847 ",3,"$2,332 ",1,15-Sep
428,Rat Film,CGld,"$7,793 ",2,"$7,793 ",2,26-May
430,The Wrong Light,CGld,"$7,553 ",1,"$5,429 ",1,15-Sep
431,Birthright: A War Story,Abr.,"$7,519 ",1,"$3,006 ",1,9-Jun
432,The Jazz Funeral,Indic.,"$7,103 ",2,"$3,792 ",2,14-Jul
433,The Dark Below,PDF,"$7,095 ",3,"$1,526 ",1,15-Sep
434,Machines,KL,"$7,024 ",1,"$2,838 ",1,26-Aug
435,A Kind of Loving (2017 re-release),Rialto,"$6,912 ",1,"$3,278 ",1,24-Mar
436,Trophy,Orch.,"$6,739 ",2,"$3,522 ",1,23-Jun
437,Footnotes,MR,"$6,660 ",2,"$5,900 ",1,19-Feb
438,Suntan,Strand,"$6,643 ",1,"$1,629 ",1,16-Sep
439,The Persian Connection,Gold.,"$6,634 ",1,"$6,634 ",1,6-May
440,Scum (2017 re-release),KL,"$6,461 ",1,"$1,948 ",1,8-Sep
441,The Skyjacker's Tale,Strand,"$6,253 ",2,"$1,097 ",1,9-Apr
442,In the Steps of Trisha Brown,Icar.,"$6,230 ",4,"$1,232 ",1,14-Jul
444,The Fuzz,Indic.,"$6,067 ",2,"$2,236 ",2,15-Sep
445,The Vault,FR,"$5,728 ",11,"$4,308 ",11,28-Apr
446,Trespass Against Us,A24,"$5,711 ",20,"$1,620 ",20,15-Sep
447,The Ardennes,FM,"$5,638 ",6,$840 ,1,15-Sep
448,La Chinoise (2017 re-release),KL,"$5,631 ",1,"$2,340 ",1,14-Jul
449,Icaros: A Vision,Factory,"$5,510 ",1,"$5,510 ",1,19-May
450,The Reagan Show,Grav.,"$5,500 ",2,"$5,500 ",2,30-Jun
451,Reset,FR,"$5,454 ",2,"$2,198 ",2,15-Sep
452,Saving Brinton,BOP,"$5,380 ",1,"$2,690 ",1,15-Sep
453,The Challenge (2017),KL,"$4,864 ",1,"$2,171 ",1,14-Apr
454,Starless Dreams,CGld,"$4,776 ",2,$707 ,1,5-May
455,Paradise Club,Indic.,"$4,705 ",2,"$1,758 ",2,13-Sep
456,Night School (2017),Osci.,"$4,663 ",2,"$1,588 ",1,15-Sep
457,I Love You Both,Magn.,"$4,661 ",7,"$3,236 ",7,21-Apr
458,A Boy Called Po,Free,"$4,550 ",10,"$2,693 ",10,15-Sep
459,Vengeance: A Love Story,FR,"$4,526 ",11,"$4,526 ",11,23-May
460,The Pulitzer at 100,FRun,"$4,489 ",1,"$2,577 ",1,23-Feb
461,German Concentration Camps Factual Survey,FRun,"$4,468 ",1,"$3,000 ",1,25-Apr
463,My Father Die,FR,"$4,252 ",10,"$3,229 ",10,2-May
464,The Woman Who Left,KL,"$3,974 ",1,"$2,018 ",1,22-Jun
467,Soul on a String,FM,"$3,669 ",2,"$1,355 ",2,5-Jan
468,Emily (2017),Hiber,"$3,642 ",2,"$1,164 ",1,12-Jun
469,Who's Crazy? (2017 re-release),KL,"$3,497 ",2,"$1,355 ",1,18-May
470,"Love, Sweat and Tears",KL,"$3,482 ",2,$512 ,1,10-Mar
471,Speed Sisters,FRun,"$3,423 ",2,$370 ,1,3-Mar
472,Time to Die,FM,"$3,411 ",1,"$3,411 ",1,29-Mar
473,Man from Outerspace,Indic.,"$3,373 ",2,"$1,962 ",2,20-Jan
474,Heal the Living,Cohen,"$3,176 ",2,"$3,176 ",2,14-Jul
475,Company Town,FRun,"$3,104 ",1,"$2,150 ",1,6-Mar
476,The Levelling,Mont.,"$3,040 ",4,$160 ,1,15-Mar
477,Justice (2017),INDEP,"$2,976 ",10,"$2,154 ",10,13-Feb
478,1898: Los ultimos de Filipinas,Sony,"$2,848 ",10,"$1,844 ",10,27-Jan
479,I Dream In Another Language,FR,"$2,739 ",1,$810 ,1,9-Jan
480,Santoalla,Osci.,"$2,684 ",1,$489 ,1,19-Jun
481,Take Me,Orch.,"$2,583 ",2,"$2,583 ",2,31-Mar
483,Miles,Free,"$2,537 ",2,"$2,147 ",2,7-Apr
484,Behind the White Glasses,KL,"$2,223 ",1,$900 ,1,11-Mar
485,7 From Etheria,PDF,"$2,208 ",2,$940 ,1,14-Apr
486,Dayveon,FR,"$2,200 ",3,"$2,200 ",3,20-Jan
487,Abracadabra,Sony,"$2,116 ",10,"$2,116 ",10,5-May
488,The Ghoul,Arrow,"$2,032 ",4,$249 ,1,3-Feb
489,"Accidental Courtesy: Daryl Davis, Race & America",FRun,"$1,940 ",1,"$1,452 ",1,14-Apr
490,Detour,Magn.,"$1,788 ",5,$145 ,5,6-Jan
492,Red Christmas,Artsploitati,"$1,284 ",3,$280 ,1,26-Aug
493,It's Not Yet Dark,FR,"$1,227 ",2,$811 ,2,8-Sep
495,The Penguin Counters,FRun,$976 ,1,$976 ,1,18-Jan
496,Extraordinary Ordinary People,FRun,$744 ,1,$744 ,1,15-Mar
499,2:22,Magn.,$422 ,3,$294 ,3,
